id,filename
patient_000_node_0,patient_000_node_0/patient_000_node_0.tif
patient_000_node_1,patient_000_node_1/patient_000_node_1.tif
patient_000_node_2,patient_000_node_2/patient_000_node_2.tif
patient_000_node_3,patient_000_node_3/patient_000_node_3.tif
patient_000_node_4,patient_000_node_4/patient_000_node_4.tif
patient_001_node_0,patient_001_node_0/patient_001_node_0.tif
patient_001_node_1,patient_001_node_1/patient_001_node_1.tif
patient_001_node_2,patient_001_node_2/patient_001_node_2.tif
patient_001_node_3,patient_001_node_3/patient_001_node_3.tif
patient_001_node_4,patient_001_node_4/patient_001_node_4.tif
patient_002_node_0,patient_002_node_0/patient_002_node_0.tif
patient_002_node_1,patient_002_node_1/patient_002_node_1.tif
patient_002_node_2,patient_002_node_2/patient_002_node_2.tif
patient_002_node_3,patient_002_node_3/patient_002_node_3.tif
patient_002_node_4,patient_002_node_4/patient_002_node_4.tif
patient_003_node_0,patient_003_node_0/patient_003_node_0.tif
patient_003_node_1,patient_003_node_1/patient_003_node_1.tif
patient_003_node_2,patient_003_node_2/patient_003_node_2.tif
patient_003_node_3,patient_003_node_3/patient_003_node_3.tif
patient_003_node_4,patient_003_node_4/patient_003_node_4.tif
patient_004_node_0,patient_004_node_0/patient_004_node_0.tif
patient_004_node_1,patient_004_node_1/patient_004_node_1.tif
patient_004_node_2,patient_004_node_2/patient_004_node_2.tif
patient_004_node_3,patient_004_node_3/patient_004_node_3.tif
patient_004_node_4,patient_004_node_4/patient_004_node_4.tif
patient_005_node_0,patient_005_node_0/patient_005_node_0.tif
patient_005_node_1,patient_005_node_1/patient_005_node_1.tif
patient_005_node_2,patient_005_node_2/patient_005_node_2.tif
patient_005_node_3,patient_005_node_3/patient_005_node_3.tif
patient_005_node_4,patient_005_node_4/patient_005_node_4.tif
patient_006_node_0,patient_006_node_0/patient_006_node_0.tif
patient_006_node_1,patient_006_node_1/patient_006_node_1.tif
patient_006_node_2,patient_006_node_2/patient_006_node_2.tif
patient_006_node_3,patient_006_node_3/patient_006_node_3.tif
patient_006_node_4,patient_006_node_4/patient_006_node_4.tif
patient_007_node_0,patient_007_node_0/patient_007_node_0.tif
patient_007_node_1,patient_007_node_1/patient_007_node_1.tif
patient_007_node_2,patient_007_node_2/patient_007_node_2.tif
patient_007_node_3,patient_007_node_3/patient_007_node_3.tif
patient_007_node_4,patient_007_node_4/patient_007_node_4.tif
patient_008_node_0,patient_008_node_0/patient_008_node_0.tif
patient_008_node_1,patient_008_node_1/patient_008_node_1.tif
patient_008_node_2,patient_008_node_2/patient_008_node_2.tif
patient_008_node_3,patient_008_node_3/patient_008_node_3.tif
patient_008_node_4,patient_008_node_4/patient_008_node_4.tif
patient_009_node_0,patient_009_node_0/patient_009_node_0.tif
